"","param_vary","i_param_var","replicate","gamma","stairs2","beta","SR"
"34",2,4,1,1.7864946889864,0.65018348218474,-0.113662109375,81
"35",2,5,1,0.796084987654992,0.679094428031692,2.17703125,124
"36",3,1,1,-2.06368179147177,0.661221725384322,-0.290322265625,60
"37",3,2,1,-0.902235968997718,0.670793650793651,4.7209375,16
"38",3,3,1,-0.532347972659024,1,9.99967852144474,4
"39",3,4,1,-2.68194570691461,0.649859583037415,-0.21376953125,234
"40",3,5,1,-0.999659605928679,0.688192746527863,0.4722607421875,115
"41",4,1,1,-1.55484347720383,0.617372277561623,-0.248733520507812,111
"42",4,2,1,-3.78999869414709,0.656710682279221,-0.04888671875,214
"43",4,3,1,NA,1,NA,2
"44",4,4,1,NA,1,NA,2
"45",4,5,1,NA,NA,NA,NA
"46",5,1,1,-1.60234791097401,0.636270224604706,-0.11218994140625,163
"47",5,2,1,-1.54972597185807,0.662825927475578,0.27646240234375,116
"48",5,3,1,-2.51983185361552,0.601190476190476,-0.602421875,25
"49",5,4,1,0.594594581841492,0.471031746031746,-1.59978306237378,13
"50",5,5,1,-0.84455106977325,0.761904761904762,10,8
"51",1,1,2,NA,1,NA,NA
"52",1,2,2,-0.098749086857506,1,9.99967852144474,4
"53",1,3,2,-0.887638381862476,0.655347503528744,0.245546875,55
"54",1,4,2,-11.7225230727285,0.652529726777948,0.245523872375488,1773
"55",1,5,2,NA,NA,NA,NA
"56",2,1,2,-1.49502134991071,0.520833333333333,-1.99999640168177,5
"57",2,2,2,-1.5653323313127,0.56453523938311,-0.46109375,35
"58",2,3,2,-0.854558817924334,0.656705870144523,0.293024291992187,153
"59",2,4,2,-1.1815229083803,0.69,-1.4945556640625,6
"60",2,5,2,2.30387254381711,0.629038073869491,-0.4051513671875,78
"61",3,1,2,-3.09195399987547,0.675204496480862,0.82263671875,145
"62",3,2,2,-0.469006658390204,0.61882165453594,-1.161845703125,15
"63",3,3,2,-2.19200325586929,0.623127890770231,-0.56694757870508,133
"64",3,4,2,-0.438240797762136,0.634941959094501,-0.196103515625,60
"65",3,5,2,-0.204105003464196,0.686096256684492,-0.037109375,18
"66",4,1,2,-1.78839859692982,0.671955634823182,0.44576171875,107
"67",4,2,2,-1.40070684151963,0.638150112732812,-0.45078857421875,58
"68",4,3,2,-1.64689332350473,0.656217213278031,-0.503050537109375,45
"69",4,4,2,0.785148409805284,0.791666666666667,9.99967852144474,5
"70",4,5,2,NA,NA,NA,NA
"71",5,1,2,-1.41866375360314,0.650752912095966,0.88593994140625,119
"72",5,2,2,-1.17623363278406,0.650607830245839,0.7401953125,40
"73",5,3,2,0.872089290049362,0.593817363922627,-0.66130859375,26
"74",5,4,2,0.565968018574649,0.539625285109156,-0.61419921875,42
"75",5,5,2,-0.609164318439776,0.75,2.27125,3
"76",1,1,3,NA,1,NA,NA
"77",1,2,3,-1.58411267696208,0.75,2.27125,3
"78",1,3,3,-0.123229390626943,0.692365967365967,1.2583984375,53
"79",1,4,3,-7.78765137058937,0.641368787215461,-0.0612203686444092,1149
"80",1,5,3,NA,NA,NA,NA
"81",2,1,3,-2.24631646750719,0.636363636363636,2.91900390625,12
"82",2,2,3,-1.93940368263828,0.738345864661654,3.68453125,20
"83",2,3,3,-0.888656234682182,0.69431930938584,0.63419921875,52
"84",2,4,3,0.0387963096179488,0.662191508169769,0.0718310546875,76
"85",2,5,3,3.47050207675098,0.706190476190476,-0.5464794921875,16
"86",3,1,3,-1.19665898877928,0.57246760492815,-0.2049365234375,42
"87",3,2,3,0.534663529439187,0.664915966386555,-0.59064453125,18
"88",3,3,3,0.0471202105485101,0.670426487093153,8.01859375,28
"89",3,4,3,0.186559271292637,0.594083050210501,-0.6730859375,52
"90",3,5,3,-2.02789790102027,0.639126748714447,-0.21376953125,177
"91",4,1,3,-7.40149711356491,0.653451455940528,0.238922119140625,614
"92",4,2,3,-3.01698711322958,0.643329497554837,0.180035400390625,367
"93",4,3,3,-0.703794646276255,0.612121212121212,7.64171875,23
"94",4,4,3,NA,1,NA,2
"95",4,5,3,NA,NA,NA,NA
"96",5,1,3,-1.18644725808919,0.598040555935293,-0.11955078125,24
"97",5,2,3,-0.565955213175023,0.717201213818861,-0.0282763671875,21
"98",5,3,3,-1.32431311073833,0.647578876583115,-0.09599609375,83
"99",5,4,3,-0.380589286095975,0.657993197278912,0.1366064453125,15
"100",5,5,3,NA,1,NA,2
"101",1,1,4,NA,1,NA,NA
"102",1,2,4,0.0244593374707753,0.75,2.27125,3
"103",1,3,4,-1.34113059759782,0.580555555555556,-1.21484375,7
"104",1,4,4,0.52642793453953,0.575462577545911,-0.537646484375,37
"105",1,5,4,NA,NA,NA,NA
"106",2,1,4,-1.7383805546838,0.583333333333333,-1.420947265625,7
"107",2,2,4,-1.13360217324652,0.733611111111111,-1.338505859375,11
"108",2,3,4,-1.00478747033472,0.669007920967874,-0.3433203125,65
"109",2,4,4,1.2094579435984,0.585442035186604,-0.655419921875,82
"110",2,5,4,1.37164552861759,0.654747234862325,-0.2520458984375,70
"111",3,1,4,-0.683982023349075,0.615497076023392,0.86974609375,20
"112",3,2,4,-1.29322719373114,0.668907633859439,-0.40220703125,72
"113",3,3,4,-1.38166644729825,0.665379014151598,0.66953125,135
"114",3,4,4,-1.32909398271213,0.636035104550142,-0.95132568359375,43
"115",3,5,4,-1.80895450958015,0.588000240125746,-0.6465869140625,40
"116",4,1,4,-6.61785457459611,0.628655531388617,-0.400000286796875,716
"117",4,2,4,-3.46138029436956,0.60144454958605,-0.4169287109375,208
"118",4,3,4,-0.915220290777347,0.642888845161573,2.07826001856258,34
"119",4,4,4,-0.51212523872066,0.791666666666667,9.99967852144474,NA
"120",4,5,4,NA,NA,NA,NA
"121",5,1,4,1.00253312338448,0.757575757575758,5.0978125,12
"122",5,2,4,-3.07031379245447,0.638621794844251,-0.461829833984375,144
"123",5,3,4,-0.68340951591056,0.648747086247086,-0.66130859375,19
"124",5,4,4,-1.41378386055266,0.617485919098822,0.10421875,32
"125",5,5,4,0.604931436319951,0.791666666666667,9.99967852144474,5
"126",1,1,5,NA,1,NA,NA
"127",1,2,5,-1.55733243041618,0.611111111111111,-1.99999640168177,4
"128",1,3,5,-0.934714098871482,0.648975701391668,2.73056640625,43
"129",1,4,5,-11.3681269814853,0.647974374281108,0.0102574116976929,2356
"130",1,5,5,NA,NA,NA,NA
"131",2,1,5,-0.582012720914381,0.604166666666667,-0.73197265625,13
