"","X","V1","V2","1","2","3","4","5","6","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13"
"1","split_times",NA,"0","0.104089513673812","0.219013654204475","0.345900192632356","0.485994289136948","0.640670712015276","0.811447328527813","1","1.14869835499704","1.31950791077289","1.5157165665104","1.74110112659225","2","2.29739670999407","2.63901582154579","3.0314331330208","3.4822022531845","4"
"2","model","equiv. BD","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death"
"3","lamb_par","0.418930825088984","0.190074655417722","0.194233383808721","0.198869876513771","0.190131523884001","0.195796246561275","0.202400199201291","0.210218010132614","0.211159759736406","0.218576278396635","0.227729621893974","0.230022722336377","0.243609780857158","0.297837153395891","0.530950996107002","1.06727501709438","2.32354283004665","0.354964865972671","0.37777662537992"
"4","mu_par","0.2","7.38092807914532e-08","1.20545906103953e-07","2.45399444435346e-08","-1.15374811628446e-08","-4.98083920601262e-08","-1.84246539568888e-08","1.05423814262401e-07","-7.03528422124701e-08","1.74247970943363e-07","-6.11374838849798e-07","6.14593547705785e-07","-2.53772668255646e-07","0.0524691138612749","0.321072136258043","0.883444114704473","2.15613755848811","0.138128266237799","0.161370145529509"
