"","X","V1","V2","1","2","3","4","5","6","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13"
"1","split_times",NA,"0","0.104089513673812","0.219013654204475","0.345900192632356","0.485994289136948","0.640670712015276","0.811447328527813","1","1.14869835499704","1.31950791077289","1.5157165665104","1.74110112659225","2","2.29739670999407","2.63901582154579","3.0314331330208","3.4822022531845","4"
"2","model","equiv. BD","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death"
"3","lamb_par","0.435414346693485","0.305068397258235","0.312326620634707","0.31982844021733","0.327408795414642","0.340355860452163","0.351139321055446","0.356329122379627","0.363402929954336","0.376446173603475","0.387697888441393","0.394643467161223","0.392796953577687","0.392433504738334","0.394290382805523","0.397344110059905","0.373250881003322","0.387102395741427","0.400743760813598"
"4","mu_par","0.0632455532033676","9.2833234629027e-09","-3.51310886361979e-07","1.30838795936477e-07","2.31181441659998e-07","1.51563594996715e-07","-2.15811919631736e-07","-1.14149187052532e-07","3.36455025111853e-06","7.9892740675272e-07","-2.26938972329082e-06","-1.53196160704881e-06","-3.13248582301723e-06","-1.17318621759551e-06","-9.1781114984172e-06","9.75282048015799e-06","-1.11786907825509e-06","1.7301852317355e-06","1.6997657620616e-06"
