"","X","V1","V2","1","2","3","4","5","6","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13"
"1","split_times",NA,"0","0.104089513673812","0.219013654204475","0.345900192632356","0.485994289136948","0.640670712015276","0.811447328527813","1","1.14869835499704","1.31950791077289","1.5157165665104","1.74110112659225","2","2.29739670999407","2.63901582154579","3.0314331330208","3.4822022531845","4"
"2","model","equiv. BD","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death"
"3","lamb_par","0.490559311199621","0.597583202869282","0.684433336090296","0.677364731883153","0.659676880161892","0.699082682604785","0.728696268983185","0.787750026124374","0.696470831380688","1.11540924070342","1.42348534014971","0.744059550829751","1.33693306408823","0.817910150361059","2.40312521239911","266917.596089019","133401.229707372","227555.07947093","0.301270767285314"
"4","mu_par","0.2","0.290248564752983","0.403646135888994","0.39584339766534","0.375089207636846","0.423883758898592","0.457695296779275","0.525573474964403","0.423388778353179","0.879061329176668","1.20179169685371","0.48251412862428","1.10769904181361","0.566295216687105","2.18647817377368","266917.383323553","133401.008617733","227554.857581194","0.0821861633012298"
