"","X","V1","V2","1","2","3","4","5","6","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13"
"1","split_times",NA,"0","0.104089513673812","0.219013654204475","0.345900192632356","0.485994289136948","0.640670712015276","0.811447328527813","1","1.14869835499704","1.31950791077289","1.5157165665104","1.74110112659225","2","2.29739670999407","2.63901582154579","3.0314331330208","3.4822022531845","4"
"2","model","equiv. BD","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death"
"3","lamb_par","0.377823255715264","0.207592569051329","0.218910115511629","0.244153730547805","0.240655851561678","0.283120736596356","0.352405349543915","0.390133516215428","0.457306222151965","0.499696019478142","0.311150613548306","0.327725600730628","0.370012010465143","0.489353403133163","0.41090505477041","0.296517883130399","0.167252699129547","0.165913737109132","0.147704172899816"
"4","mu_par","0.2","-7.15308768860101e-08","0.0136062480449081","0.0516384988890873","0.0465422081234467","0.106131611806768","0.195997393511334","0.242181597478702","0.321186032169499","0.36912686615251","0.148021713935942","0.168318386771717","0.218437461195572","0.353713066212086","0.26759408232756","0.137489323885394","-8.48890753595956e-08","9.150670128823e-08","1.93584964280616e-08"
