"","X","V1","V2","1","2","3","4","5","6","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13"
"1","split_times",NA,"0","0.104089513673812","0.219013654204475","0.345900192632356","0.485994289136948","0.640670712015276","0.811447328527813","1","1.14869835499704","1.31950791077289","1.5157165665104","1.74110112659225","2","2.29739670999407","2.63901582154579","3.0314331330208","3.4822022531845","4"
"2","model","equiv. BD","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death"
"3","lamb_par","0.435414346693485","0.309308748388422","0.317458612994799","0.328390934610627","0.339085331585093","0.345366674554281","0.354175282866639","0.364199964687457","0.373040752371302","0.38217318065533","0.383188198406076","0.375238746936106","0.377449242852715","0.372958775730218","0.376545904361427","0.370471234805059","0.374872625801847","0.394304376964211","0.382122165557638"
"4","mu_par","0.02","1.24781625761238e-08","-1.70157380838847e-08","2.56483308862988e-07","-1.01922558027349e-07","3.20720559310114e-07","-6.86122938032867e-07","5.70843730865002e-07","3.96362480315544e-07","-2.33625157699611e-06","1.33480119034605e-07","-1.91149990603544e-07","-2.23532777984009e-05","-1.03940238296516e-06","-3.55152934187883e-07","7.85327561308172e-07","6.32474361320332e-08","-4.56924976912729e-06","6.48251670077708e-07"
