"","X","V1","V2","1","2","3","4","5","6","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13"
"1","split_times",NA,"0","0.104089513673812","0.219013654204475","0.345900192632356","0.485994289136948","0.640670712015276","0.811447328527813","1","1.14869835499704","1.31950791077289","1.5157165665104","1.74110112659225","2","2.29739670999407","2.63901582154579","3.0314331330208","3.4822022531845","4"
"2","model","equiv. BD","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death"
"3","lamb_par","0.435414346693485","0.160267494840176","0.16337063187922","0.167020032679184","0.170979966309653","0.182821650960267","0.169283454137614","0.162430380161519","0.16841003432992","0.173390637479769","0.207003668833385","0.172361146973978","0.165087400058224","0.157819832425131","0.150189269547576","0.160278216329708","0.173625842357686","0.225229632572472","0.168581618848907"
"4","mu_par","0.632455532033676","1.1847965941899e-09","3.53862420039132e-07","-1.45029186348814e-05","8.76850139282928e-08","0.0140560742505282","-8.61044997544682e-07","1.82215762691812e-08","-2.61965925975676e-07","2.3586676406398e-06","0.0471027560836772","1.26212285288049e-07","-2.10365534766457e-07","5.65337842864123e-08","8.91192076016724e-08","1.4163335588712e-07","8.04301541082809e-07","0.0462369773193714","-1.81739464742905e-07"
