"","X","V1","V2","1","2","3","4","5","6","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13"
"1","split_times",NA,"0","0.104089513673812","0.219013654204475","0.345900192632356","0.485994289136948","0.640670712015276","0.811447328527813","1","1.14869835499704","1.31950791077289","1.5157165665104","1.74110112659225","2","2.29739670999407","2.63901582154579","3.0314331330208","3.4822022531845","4"
"2","model","equiv. BD","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death"
"3","lamb_par","0.473268410417969","0.424520050210413","0.503352868370711","0.638853012225444","0.786708770059384","0.730040354286757","1.33902362476155","1.09606042101409","0.934228515625001","1.21595761367062","2.13173466101962","11400.4280382888","482149.364100831","0.36570459020877","0.272096287925764","1.23930137557636","60.1053789536063","34820.1084969287","268688.842793823"
"4","mu_par","0.2","0.150584613409592","0.262098500784487","0.437704975661836","0.616549710810364","0.551605475088218","1.22223757346242","0.967088328720663","0.795434570312501","1.09523949324357","2.03828519482459","11400.3598889465","482149.305696857","0.186220081394277","0.0646867589527374","1.11848119300303","60.0203965035808","34819.9644965275","268688.788520507"
