"","X","V1","V2","1","2","3","4","5","6","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13"
"1","split_times",NA,"0","0.104089513673812","0.219013654204475","0.345900192632356","0.485994289136948","0.640670712015276","0.811447328527813","1","1.14869835499704","1.31950791077289","1.5157165665104","1.74110112659225","2","2.29739670999407","2.63901582154579","3.0314331330208","3.4822022531845","4"
"2","model","equiv. BD","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death"
"3","lamb_par","0.435414346693485","0.315706993609749","0.325158144470484","0.335191220428343","0.347296790832676","0.356531935715726","0.36501071109041","0.382828264875145","0.369016399535431","0.377413677540608","0.363099848995676","0.371765192055437","0.520944597944618","0.695184410854563","1.82959286258102","135844.306936621","13.0414341766669","67847.2326963534","52843.8455376834"
"4","mu_par","0.0632455532033676","-5.7815887086491e-08","7.6036666672056e-08","2.54703900821664e-07","2.75979226880747e-07","-6.96718960619186e-07","-1.43406970700608e-06","0.0160234449053923","1.47376892678295e-05","0.00826167077757422","2.60312236916024e-06","0.000108957985292891","0.175300847738981","0.365345779752533","1.53140347134251","135844.021606548","12.762762316025","67846.949606333","52843.5540845589"
