"","X","V1","V2","1","2","3","4","5","6","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13"
"1","split_times",NA,"0","0.104089513673812","0.219013654204475","0.345900192632356","0.485994289136948","0.640670712015276","0.811447328527813","1","1.14869835499704","1.31950791077289","1.5157165665104","1.74110112659225","2","2.29739670999407","2.63901582154579","3.0314331330208","3.4822022531845","4"
"2","model","equiv. BD","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death"
"3","lamb_par","0.377823255715264","0.198415738612977","0.202798662681559","0.202754503922261","0.208473444010622","0.215018535678384","0.222757971055467","0.226244075376435","0.230537918631376","0.232773447228628","0.242987804912767","0.255830019817313","0.249792822780817","0.244023436758732","0.255692113001643","0.272418979900844","0.252260905000623","0.274647344705998","0.295382896546415"
"4","mu_par","0.2","1.23111332523524e-08","-7.28504788015495e-08","-7.59703528697694e-08","-3.52072032869796e-08","5.75728255819212e-08","-1.96335065868528e-07","3.36936847524479e-07","2.83209469815589e-07","-5.78949472399492e-08","7.3959024424148e-07","2.34661839601139e-07","8.14894487306587e-07","-2.95669367632358e-08","1.66459213337017e-06","4.91021020568814e-07","1.76846263105347e-07","6.43173830104343e-07","-1.32129575728228e-06"
