"","X","V1","V2","1","2","3","4","5","6","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13"
"1","split_times",NA,"0","0.104089513673812","0.219013654204475","0.345900192632356","0.485994289136948","0.640670712015276","0.811447328527813","1","1.14869835499704","1.31950791077289","1.5157165665104","1.74110112659225","2","2.29739670999407","2.63901582154579","3.0314331330208","3.4822022531845","4"
"2","model","equiv. BD","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death"
"3","lamb_par","0.137690106146562","0.109239359758794","0.119929493174095","0.134519255761688","0.155678337141263","0.0307859189450366","0.031224791890998","0.0317325768004742","0.0323286155320031","0.0327709794127831","0.033353800148868","-0.0340268993735278","-0.0348034256902368","-0.0357958494118956","0.0369769179568434","0.0384272560759888","0.0402269544265263","0.0425554562740771","0.0457981415175642"
"4","mu_par","0.2","0.154847216885538","0.176071998331736","0.203317035988107","0.240226835874906","-8.72539094539741e-08","1.78418256862749e-08","-7.80139494001444e-09","6.92978320064762e-08","4.81835755685888e-08","9.56770755434415e-08","9.98474652951042e-09","-1.4818097934251e-07","3.22136931932733e-07","-7.01341265215281e-08","7.91068574632968e-08","-1.20850483567929e-07","-1.51929505176159e-07","-3.98758481226806e-07"
