"","X","V1","V2","1","2","3","4","5","6","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13"
"1","split_times",NA,"0","0.104089513673812","0.219013654204475","0.345900192632356","0.485994289136948","0.640670712015276","0.811447328527813","1","1.14869835499704","1.31950791077289","1.5157165665104","1.74110112659225","2","2.29739670999407","2.63901582154579","3.0314331330208","3.4822022531845","4"
"2","model","equiv. BD","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death"
"3","lamb_par","0.0435414346693485","0.205911949385941","0.211648606007444","0.218503574911227","0.226553662776078","0.236232577401315","0.247871385738827","0.262131684518053","0.27999483233766","0.295738922008375","0.316283910807446","0.343773103887372","0.38175906919318","0.633259493648074","0.911448287114034","24254.2681049932","0.352021551890898","0.303597302745965","0.442875439091548"
"4","mu_par","0.2","1.98192204007374e-08","1.98194054002922e-08","-1.13548162172477e-10","-2.68687612839957e-08","3.28714994585677e-08","1.82255795256771e-08","9.02547612082458e-08","-5.76376007628365e-08","-9.1780613429179e-08","9.40739444455414e-08","1.96352861039926e-08","3.63067508005735e-07","0.246147371816915","0.545047638000688","24253.9624043632","-3.1604795403618e-07","1.53268757690341e-07","-7.23938522788296e-07"
