"","X","V1","V2","1","2","3","4","5","6","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13"
"1","split_times",NA,"0","0.104089513673812","0.219013654204475","0.345900192632356","0.485994289136948","0.640670712015276","0.811447328527813","1","1.14869835499704","1.31950791077289","1.5157165665104","1.74110112659225","2","2.29739670999407","2.63901582154579","3.0314331330208","3.4822022531845","4"
"2","model","equiv. BD","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death"
"3","lamb_par","0.473268410417969","0.286104119657701","0.319718950419739","0.377159274878067","0.430335615202784","0.321916691660589","0.282177522588608","0.369181963417213","0.400905271340161","0.394847157853654","0.648344034423645","0.622955423958411","0.408364547212659","1.55019659804805","0.532040619870894","0.355766102713309","5.74606115298014","0.232320592457139","0.184497920427199"
"4","mu_par","0.2","3.81210016847871e-06","0.0487506416355427","0.129708975697577","0.200168933719397","0.0557291840523246","2.78117877312105e-05","0.116005576937459","0.155872188322247","0.148362200381236","0.439254065202112","0.411540276380219","0.170365973144726","1.37180289294044","0.315933907393082","0.118462029713918","5.57198373133993","6.02789911103948e-08","-5.83613776142711e-08"
