"","X","V1","V2","1","2","3","4","5","6","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13"
"1","split_times",NA,"0","0.104089513673812","0.219013654204475","0.345900192632356","0.485994289136948","0.640670712015276","0.811447328527813","1","1.14869835499704","1.31950791077289","1.5157165665104","1.74110112659225","2","2.29739670999407","2.63901582154579","3.0314331330208","3.4822022531845","4"
"2","model","equiv. BD","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death"
"3","lamb_par","0.418930825088984","0.19122892269487","0.195184261486413","0.199979684386875","0.205373421693801","0.211802347227185","0.208120612545219","0.216245426909476","0.208004565397492","0.208551022999572","0.203743272765334","0.206006099529295","0.217049824975687","0.223039933261469","0.215138726630983","0.215468561751809","0.217464199570209","0.221546629356021","0.227855363009288"
"4","mu_par","0.2","1.75387601719381e-07","2.16103632732155e-08","-1.34786342773649e-07","-2.82601406136504e-07","-3.37881291289434e-07","1.31659280492578e-06","-2.51723119113001e-07","1.50489689051802e-07","2.06548213284197e-07","-2.85837265845853e-07","-3.79362262503717e-07","3.33092761985836e-07","-1.76446333636399e-06","7.39906673069183e-08","3.25827342339342e-09","1.69822357788117e-08","2.52203797998793e-08","-6.72163713314039e-08"
