"","X","V1","V2","1","2","3","4","5","6","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13"
"1","split_times",NA,"0","0.104089513673812","0.219013654204475","0.345900192632356","0.485994289136948","0.640670712015276","0.811447328527813","1","1.14869835499704","1.31950791077289","1.5157165665104","1.74110112659225","2","2.29739670999407","2.63901582154579","3.0314331330208","3.4822022531845","4"
"2","model","equiv. BD","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death"
"3","lamb_par","0.690085233974408","0.387076763526393","0.402532376428788","0.418574698477771","0.434411958130414","0.449794461839379","0.459683974982754","0.478227044367301","0.5317811677005","0.486191576561928","0.511274418022368","0.491851396051289","0.488546557047403","0.509901782963425","0.490339263222172","0.496544590347298","0.499514371515624","0.504015464938129","0.690927472319162"
"4","mu_par","0.2","-2.5238106161994e-07","1.10159497799656e-07","4.29579697700781e-09","1.0630744578945e-07","4.78783671279942e-08","3.33689368336822e-07","-1.79630168936024e-06","0.0638147595628624","1.65971971516471e-07","0.0190771590569057","-1.1259895290907e-05","5.55067035757578e-06","0.0121734779328108","-2.14196263490558e-06","-3.07786823356712e-06","2.91737505914307e-06","0.000181296153459584","0.177582739930949"
