"","X","V1","V2","1","2","3","4","5","6","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13"
"1","split_times",NA,"0","0.104089513673812","0.219013654204475","0.345900192632356","0.485994289136948","0.640670712015276","0.811447328527813","1","1.14869835499704","1.31950791077289","1.5157165665104","1.74110112659225","2","2.29739670999407","2.63901582154579","3.0314331330208","3.4822022531845","4"
"2","model","equiv. BD","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death"
"3","lamb_par","0.137690106146562","0.200904222356621","0.230050054890307","0.273590201929619","0.342030388241551","0.470066650533463","0.750066594476506","1.77892133490524","23593.8501427946","1393510.76783849","2.70467161020426","481710.171738195","4977963.35034791","1429460.62800128","9.02396966988659e-11","-3.04009111014e-09","-2.42414180139112e-09","-8.90088031380314e-10","3.33723501779645e-08"
"4","mu_par","0.2","0.226865415117936","0.295891196290905","0.389025018943358","0.518293249959464","0.729471324748652","1.11862656103651","2.30841669925553","23594.5761511882","1393511.42441734","3.3728926428641","481710.929107307","4977964.02850231","1429461.21957554","9.68986736026385e-06","-6.82463830443736e-05","-1.51488182561622e-05","1.30834380145165e-05","3.82803187258308e-06"
