"","X","V1","V2","1","2","3","4","5","6","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13"
"1","split_times",NA,"0","0.104089513673812","0.219013654204475","0.345900192632356","0.485994289136948","0.640670712015276","0.811447328527813","1","1.14869835499704","1.31950791077289","1.5157165665104","1.74110112659225","2","2.29739670999407","2.63901582154579","3.0314331330208","3.4822022531845","4"
"2","model","equiv. BD","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death"
"3","lamb_par","0.435414346693485","0.293902640516725","0.301039337176212","0.309731460555105","0.320149682839118","0.33052060431964","0.335182449006675","0.360236681424431","0.46238241599931","0.585383056498539","0.694669943077906","0.51384101677686","0.568098904099315","0.837071316510351","0.975661810958264","0.683983553090365","1.27401354614448","0.417613976990105","2.37501898950358"
"4","mu_par","0.2","-3.17664790295726e-07","-8.87062390360423e-07","1.84018705603607e-07","7.90301012254202e-07","4.95828973818106e-07","-3.29721579947216e-07","0.0162389514312959","0.145930527670134","0.290665833718958","0.412709096348135","0.210663587227464","0.271401218883693","0.559507245024907","0.703304079103689","0.401500565107563","1.00772601827703","0.121887451052316","2.11169122115498"
