"","X","V1","V2","1","2","3","4","5","6","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13"
"1","split_times",NA,"0","0.104089513673812","0.219013654204475","0.345900192632356","0.485994289136948","0.640670712015276","0.811447328527813","1","1.14869835499704","1.31950791077289","1.5157165665104","1.74110112659225","2","2.29739670999407","2.63901582154579","3.0314331330208","3.4822022531845","4"
"2","model","equiv. BD","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death"
"3","lamb_par","0.435414346693485","0.149310126393567","0.15284954630398","0.156996744762377","0.121155197621457","0.124728526483752","0.128841787265833","0.133765193741825","0.139620844498585","0.144582800216016","0.150807101048067","0.15865108529735","0.168745494630724","0.181968313775724","0.200061437577737","0.326646381424143","61592.5002690011","967118.104827843","7637.01114852822"
"4","mu_par","0.632455532033676","-1.301241739145e-07","2.63813182035354e-07","1.95944926562928e-07","-2.02958486804564e-07","-5.63158825315049e-08","3.50334413411875e-08","1.80413675136122e-08","-2.9643095280186e-07","-1.69685038255634e-07","-9.8535612428663e-07","1.95915711532376e-07","-1.17796625850874e-07","1.50992040287393e-05","5.30637528951299e-07","0.153867473620358","61592.4570701637","967117.960259097","7636.90633737215"
