"","X","V1","V2","1","2","3","4","5","6","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13"
"1","split_times",NA,"0","0.104089513673812","0.219013654204475","0.345900192632356","0.485994289136948","0.640670712015276","0.811447328527813","1","1.14869835499704","1.31950791077289","1.5157165665104","1.74110112659225","2","2.29739670999407","2.63901582154579","3.0314331330208","3.4822022531845","4"
"2","model","equiv. BD","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death"
"3","lamb_par","0.690085233974408","0.372725827356586","0.386691193713046","0.4012889057436","0.410948377533368","0.42079745339663","0.428625283653627","0.438837003102775","0.447916421968782","0.454538752993204","0.454295748173737","0.460743609802541","0.52407974946639","0.564358939230443","0.480229523877408","0.559240764856804","0.585014876071364","1.91279657661257","0.44718722349271"
"4","mu_par","0.2","-2.70184375571491e-07","-2.91732867966821e-07","5.32526833290524e-08","1.48137013116441e-07","3.79241555243492e-07","1.69364034896894e-06","-1.12181536291291e-06","1.17465819646476e-06","1.99634113212895e-06","3.92708269490818e-06","-0.000269780050563922","0.0733025531989985","0.118394583463669","0.0246055291573765","0.111767563363537","0.138987047597766","1.49019564093433","3.85796654480627e-06"
