"","X","V1","V2","1","2","3","4","5","6","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13"
"1","split_times",NA,"0","0.104089513673812","0.219013654204475","0.345900192632356","0.485994289136948","0.640670712015276","0.811447328527813","1","1.14869835499704","1.31950791077289","1.5157165665104","1.74110112659225","2","2.29739670999407","2.63901582154579","3.0314331330208","3.4822022531845","4"
"2","model","equiv. BD","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death"
"3","lamb_par","0.435414346693485","0.258220044890988","0.265523621277307","0.274260142265708","0.275805902844253","0.278663861189949","0.282325695283195","0.287218462879836","0.304404488376416","0.3084454510298","0.314964908819389","0.312281756738767","0.310753062557695","0.339114541592623","0.329685302580399","0.345227980871469","0.350150731132856","0.352892758449801","0.377227477221597"
"4","mu_par","0.2","-3.87768374149074e-07","1.04837267040757e-07","-1.06881139227571e-07","3.39038246149761e-07","-6.0780016017528e-08","-1.49703327708139e-07","-1.95661361670988e-08","-2.61950933355472e-07","-1.94349119594585e-07","2.05801626063528e-07","1.99527665345753e-07","1.68971372915685e-07","1.12180209375276e-06","-5.14275361051791e-07","-6.49319655050989e-07","1.39733667491813e-06","5.17646728940127e-07","3.62465170899747e-06"
