"","X","V1","V2","1","2","3","4","5","6","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13"
"1","split_times",NA,"0","0.104089513673812","0.219013654204475","0.345900192632356","0.485994289136948","0.640670712015276","0.811447328527813","1","1.14869835499704","1.31950791077289","1.5157165665104","1.74110112659225","2","2.29739670999407","2.63901582154579","3.0314331330208","3.4822022531845","4"
"2","model","equiv. BD","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death"
"3","lamb_par","0.435414346693485","0.200280270401204","0.205004801473461","0.222131250155325","0.2502285944689","0.292758191866527","0.359689221944427","0.485158220259473","0.794374838830118","0.9344767274275","0.469685532606309","0.817106684423225","4.49275239349327","5.93173835891685","17.0662376910654","1.89054802414701","5.34016417280526","0.244365476488019","7444.76138444552"
"4","mu_par","0.2","1.88950987245099e-07","-3.92092374511843e-06","0.0256467136557158","0.068747460864415","0.129972990926446","0.218523383590218","0.371775855740998","0.717182416324614","0.866546341869845","0.36012924177312","0.739951075857494","4.46203526438559","5.90433300717474","17.047448427086","1.85370813497327","5.3122294484669","0.135232034405635","7444.72847227519"
