"","X","V1","V2","1","2","3","4","5","6","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13"
"1","split_times",NA,"0","0.104089513673812","0.219013654204475","0.345900192632356","0.485994289136948","0.640670712015276","0.811447328527813","1","1.14869835499704","1.31950791077289","1.5157165665104","1.74110112659225","2","2.29739670999407","2.63901582154579","3.0314331330208","3.4822022531845","4"
"2","model","equiv. BD","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death"
"3","lamb_par","0.443246258916346","0.315264581778147","0.324680602180594","0.33739332525118","0.352579879536456","0.354753001324752","0.356369168815111","0.391636830300085","0.459705753391609","0.60302661463138","0.743899521874976","0.52010846408084","0.593025691108778","0.465651966625594","0.521948337927461","0.524678175151348","0.338904240421734","2.66234411151818","0.337314682686787"
"4","mu_par","0.2","-1.2076450098334e-07","-2.64829833463774e-07","-3.09273149744503e-08","-1.37319723614756e-06","-4.72961271968438e-07","1.46460335818697e-06","-0.0350027712846041","0.12049284754321","0.288072858929809","0.444191793643572","0.195943370275199","0.277540243696422","0.135003008379133","0.196371718496084","0.199351766705513","-3.39230665774891e-07","2.36294211089552","-3.56622153013814e-05"
