"","X","V1","V2","1","2","3","4","5","6","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13"
"1","split_times",NA,"0","0.104089513673812","0.219013654204475","0.345900192632356","0.485994289136948","0.640670712015276","0.811447328527813","1","1.14869835499704","1.31950791077289","1.5157165665104","1.74110112659225","2","2.29739670999407","2.63901582154579","3.0314331330208","3.4822022531845","4"
"2","model","equiv. BD","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death"
"3","lamb_par","0.333499026115567","0.36963316371839","0.421172951911285","0.4980743532362","0.621570963310005","0.858129935372091","1.44876606673074","5.60569407791049","14232.4443368961","1899475.83176213","2.53116651765797","339548.479406639","213902.00650876","3939848.52932969","3.56021023151552","79663.6614743059","1499237.34899494","37945.8072444936","39313.4170538188"
"4","mu_par","0.2","0.37392631920593","0.443924264332236","0.542784133234651","0.692933968386186","0.964173976631775","1.5996658981413","5.82239888082135","14232.6859484997","1899476.07020399","2.73765780063716","339548.720782504","213902.219446571","3939848.7112657","3.839825905938","79663.944104208","1499237.60049457","37946.1396686015","39313.7156800705"
