"","X","V1","V2","1","2","3","4","5","6","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13"
"1","split_times",NA,"0","0.104089513673812","0.219013654204475","0.345900192632356","0.485994289136948","0.640670712015276","0.811447328527813","1","1.14869835499704","1.31950791077289","1.5157165665104","1.74110112659225","2","2.29739670999407","2.63901582154579","3.0314331330208","3.4822022531845","4"
"2","model","equiv. BD","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death"
"3","lamb_par","0.478127035624279","0.306260743733512","0.314902555408253","0.323881491130851","0.336153667537582","0.348074503195797","0.348648487093578","0.352375324167794","0.363751868899734","0.361731563312766","0.361157127129555","0.364730425716856","0.366139368423347","0.369719875412231","0.386117474658892","0.400320060555532","0.38226522962744","0.380750764158675","0.387250517770249"
"4","mu_par","0.2","-3.29254638620744e-07","-1.02174152577675e-07","-1.78702268276861e-07","2.95003493898726e-08","7.62385159234819e-07","6.56480485604846e-08","-6.6115403689319e-07","-6.39511064375378e-07","7.65023359011672e-08","1.29084999766177e-06","5.93439812298086e-06","2.0698333984723e-06","3.41186505786865e-07","-1.19065980211651e-05","0.00633993999508703","-2.63900355689707e-07","9.74428582664852e-07","1.90690745644312e-06"
