"","X","V1","V2","1","2","3","4","5","6","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13"
"1","split_times",NA,"0","0.104089513673812","0.219013654204475","0.345900192632356","0.485994289136948","0.640670712015276","0.811447328527813","1","1.14869835499704","1.31950791077289","1.5157165665104","1.74110112659225","2","2.29739670999407","2.63901582154579","3.0314331330208","3.4822022531845","4"
"2","model","equiv. BD","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death"
"3","lamb_par","0.435414346693485","0.279858485177487","0.288226339593042","0.298268015141512","0.305200587608999","0.303580231672861","0.304074573951691","0.311614603637478","0.316944757975764","0.324298464112644","0.325646010076157","0.336227900954081","0.343146477093823","0.339694196942394","0.323351327119499","0.33943762267658","0.351362965124892","0.334171977769145","0.338344941124394"
"4","mu_par","0.2","-5.49057179122752e-08","5.80948850787259e-08","2.20573730016141e-07","1.76219360126509e-07","-2.93005818061468e-07","1.7384413588277e-07","-1.29056254524807e-07","-5.20047193239486e-07","-1.13162817703015e-07","2.65465590596358e-07","2.43615501514986e-06","2.67019434552637e-06","7.09631059139497e-07","9.63290171196197e-08","1.17249737139337e-06","-6.34291935823266e-06","-6.06292751154941e-08","5.60661162740015e-07"
