"","X","V1","V2","1","2","3","4","5","6","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13"
"1","split_times",NA,"0","0.104089513673812","0.219013654204475","0.345900192632356","0.485994289136948","0.640670712015276","0.811447328527813","1","1.14869835499704","1.31950791077289","1.5157165665104","1.74110112659225","2","2.29739670999407","2.63901582154579","3.0314331330208","3.4822022531845","4"
"2","model","equiv. BD","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death"
"3","lamb_par","0.423496936198415","0.157965611186508","0.169642785496333","0.185052416880376","0.205746459527017","0.236288502355456","0.282640174086969","0.363737177103758","0.323385474309006","0.423723412980326","0.359853531519093","0.148132837667798","0.189859285788511","0.278681103107765","0.187206131903668","0.350715142517402","0.285573245098771","0.16400551518287","0.122599741519076"
"4","mu_par","0.2","0.0144844287411527","0.0338402189262144","0.0580892193477212","0.0890771274027427","0.132638504140778","0.194402960882541","0.29521671384573","0.24575982850424","0.364333234215155","0.290648862150375","0.0145606273421433","0.075125833631795","0.18932647267975","0.0716461406021873","0.270793348987989","0.197412395484616","0.0460773257539859","-2.1456114291571e-06"
