"","X","V1","V2","1","2","3","4","5","6","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13"
"1","split_times",NA,"0","0.104089513673812","0.219013654204475","0.345900192632356","0.485994289136948","0.640670712015276","0.811447328527813","1","1.14869835499704","1.31950791077289","1.5157165665104","1.74110112659225","2","2.29739670999407","2.63901582154579","3.0314331330208","3.4822022531845","4"
"2","model","equiv. BD","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death"
"3","lamb_par","0.478127035624279","0.295473670713621","0.302876974401008","0.308913216776461","0.314222161139499","0.32122465830832","0.337479000921939","0.353384079286479","0.397205190081149","0.408953941854014","0.443822663473498","0.44422324449115","0.422814183213632","0.474453737627482","0.615930978106919","1.09681746039714","0.342384349769102","0.44502328230301","0.294782328705955"
"4","mu_par","0.2","-2.85077421168332e-07","5.7678192374701e-07","-1.24042945462227e-05","2.24898958153879e-07","-1.20060332927647e-05","0.0181597714202779","0.0391349363097102","0.0951255138497801","0.109243757821144","0.150894342589561","0.151254761153541","0.126693165041797","0.184731024500797","0.337734893157904","0.837164370178653","0.0449050402743558","0.156798402295681","-5.5317818198935e-07"
