"","X","V1","V2","1","2","3","4","5","6","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13"
"1","split_times",NA,"0","0.104089513673812","0.219013654204475","0.345900192632356","0.485994289136948","0.640670712015276","0.811447328527813","1","1.14869835499704","1.31950791077289","1.5157165665104","1.74110112659225","2","2.29739670999407","2.63901582154579","3.0314331330208","3.4822022531845","4"
"2","model","equiv. BD","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death"
"3","lamb_par","0.435414346693485","0.317110605981795","0.325599420044532","0.336009891175391","0.345712504282358","0.355440678315585","0.370548102880493","0.377162003086469","0.386253342616675","0.392591547641134","0.393138242432845","0.379846705312139","0.485096142441036","0.565701774787158","0.562073736265302","0.665393629285972","0.828275456853367","0.819783910632034","0.361510981747981"
"4","mu_par","0.0632455532033676","1.39221742617425e-07","-2.06521779443086e-07","-2.30610177910451e-08","-5.05229158874313e-07","-2.43666864523175e-07","-2.42967729639991e-07","-1.98046039404881e-06","8.32126594339059e-06","0.00596035940907354","0.00580218058157816","8.76319636027004e-07","0.113338954746723","0.205790645442903","0.201649586111307","0.310826322226785","0.483779810897092","0.479187647003707","1.6858583320907e-05"
