"","X","V1","V2","1","2","3","4","5","6","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13"
"1","split_times",NA,"0","0.104089513673812","0.219013654204475","0.345900192632356","0.485994289136948","0.640670712015276","0.811447328527813","1","1.14869835499704","1.31950791077289","1.5157165665104","1.74110112659225","2","2.29739670999407","2.63901582154579","3.0314331330208","3.4822022531845","4"
"2","model","equiv. BD","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death"
"3","lamb_par","0.137690106146562","0.229181031153045","0.235803725677141","0.243844260397009","0.253137935943844","0.264436215846982","0.278013776586302","0.294938462154025","0.283640827804383","0.298987276518478","0.318922263796533","0.345309109450319","0.338229779574652","0.37987490264602","0.442352130417161","0.545457470017016","0.629571688289387","0.807415237326085","0.726766170073871"
"4","mu_par","0.2","3.18697921261701e-08","2.24478812089238e-09","-3.68435298674119e-08","-7.40186706343001e-08","-3.08028052345711e-08","1.01155095910052e-07","7.49303858205639e-08","-1.3931924998048e-07","-1.37463149140995e-07","-8.02285858259383e-08","-2.02131245272751e-07","1.76066778757368e-07","7.28780076802892e-08","-1.73074982465874e-07","3.52552871333877e-07","-7.98446166963739e-07","-6.07328764091447e-05","-1.58131661155708e-06"
