"","X","V1","V2","1","2","3","4","5","6","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13"
"1","split_times",NA,"0","0.104089513673812","0.219013654204475","0.345900192632356","0.485994289136948","0.640670712015276","0.811447328527813","1","1.14869835499704","1.31950791077289","1.5157165665104","1.74110112659225","2","2.29739670999407","2.63901582154579","3.0314331330208","3.4822022531845","4"
"2","model","equiv. BD","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death"
"3","lamb_par","0.435414346693485","0.237195259826569","0.243711975431091","0.251427559314047","0.26053069610281","0.314689058966178","0.31716773916148","0.326240347937437","0.499066704435973","0.352325943017262","0.343277921961366","0.336230427809641","0.362870055555958","0.930384790160341","539565.354825523","102571.646976182","79189.0473193828","75289.6439707738","309017.972002816"
"4","mu_par","0.2","9.2294309563295e-08","3.16647434574536e-07","7.44581754671093e-07","5.06061097410905e-08","0.0825752999655381","0.0859581405281012","0.0986027565197218","0.321539569029119","0.136787954319135","0.124450328578539","0.114072138938354","0.149131092432617","0.780962740034419","539565.247741203","102571.532126428","79188.9301500641","75289.5673308147","309017.88093675"
