"","X","V1","V2","1","2","3","4","5","6","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13"
"1","split_times",NA,"0","0.104089513673812","0.219013654204475","0.345900192632356","0.485994289136948","0.640670712015276","0.811447328527813","1","1.14869835499704","1.31950791077289","1.5157165665104","1.74110112659225","2","2.29739670999407","2.63901582154579","3.0314331330208","3.4822022531845","4"
"2","model","equiv. BD","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death"
"3","lamb_par","0.137690106146562","0.0351796928779034","0.035612303995989","0.0360227016429988","-0.0365243013808906","0.0370819811969875","0.0377282293881418","0.0395172469396353","0.0435696942280231","0.047150216364839","0.0522725227147016","0.0595517012941854","0.0705617393933905","0.0882287751791281","0.119779835010377","0.190530446492266","0.417255981887071","10.2920940323688","318925.964930286"
"4","mu_par","0.2","2.63031953933751e-07","3.10230050134402e-07","1.79165120606438e-06","-9.41773612187551e-07","1.00337249969655e-06","-1.47631369319015e-06","0.00563361003664937","0.0215277596754808","0.034254250269135","-0.0517428453655154","0.0742387384487306","0.104690689742892","0.147171188458891","0.211158615069236","0.327722729310517","0.619246347001612","10.5962472918845","318926.243330565"
