"","X","V1","V2","1","2","3","4","5","6","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13"
"1","split_times",NA,"0","0.104089513673812","0.219013654204475","0.345900192632356","0.485994289136948","0.640670712015276","0.811447328527813","1","1.14869835499704","1.31950791077289","1.5157165665104","1.74110112659225","2","2.29739670999407","2.63901582154579","3.0314331330208","3.4822022531845","4"
"2","model","equiv. BD","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death"
"3","lamb_par","0.478127035624279","0.0761716848719","0.077366890637005","0.078800832417524","0.0803991090310278","0.0822611779851306","0.0893811308102447","0.102213198245669","0.121193641536956","0.140989060327685","0.173175924833049","0.230580274767999","0.357652312051504","0.781673667308507","15420.5898548849","511526.681874496","0.200600738993547","1.26856384469188","109586.484888124"
"4","mu_par","0.2","-6.66197168649366e-07","5.24513223268607e-07","-2.85489184851938e-07","2.24302183553315e-07","-5.56892980738931e-06","0.0177881654733629","0.0504874007267291","0.0938740637662709","0.134552176796931","0.19408102568923","0.287310058968069","0.463965732161887","0.957813561707436","15420.8642598977","511526.918422917","0.281964004738476","1.48335413040891","109586.717743708"
