"","X","V1","V2","1","2","3","4","5","6","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13"
"1","split_times",NA,"0","0.104089513673812","0.219013654204475","0.345900192632356","0.485994289136948","0.640670712015276","0.811447328527813","1","1.14869835499704","1.31950791077289","1.5157165665104","1.74110112659225","2","2.29739670999407","2.63901582154579","3.0314331330208","3.4822022531845","4"
"2","model","equiv. BD","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death"
"3","lamb_par","0.423496936198415","0.282378276398118","0.315144900232553","0.36154293194777","0.429889066332544","0.544301307520995","0.758273842306004","1.31589490619887","5.75659973925278","1527417.60402423","608907.334019748","320572.685203653","0.137599220698857","0.0367693629331935","0.0379964382075976","0.0395496529356356","-0.0414679670478894","0.0439602592261771","0.0471502213191795"
"4","mu_par","0.2","0.295745941821095","0.3401496803388","0.400348582756669","0.484967942614094","0.619630117438627","0.85787953961295","1.44723317543102","5.93038629737433","1527417.7833143","608907.494804299","320572.870803549","0.147977654694823","-1.73557465466099e-08","-2.37036664952853e-07","-6.18584790236649e-08","1.00831911855923e-08","1.05420105994932e-07","-3.10639121473786e-08"
