"","X","V1","V2","1","2","3","4","5","6","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13"
"1","split_times",NA,"0","0.104089513673812","0.219013654204475","0.345900192632356","0.485994289136948","0.640670712015276","0.811447328527813","1","1.14869835499704","1.31950791077289","1.5157165665104","1.74110112659225","2","2.29739670999407","2.63901582154579","3.0314331330208","3.4822022531845","4"
"2","model","equiv. BD","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death"
"3","lamb_par","0.435414346693485","0.345675409245228","0.402126524847745","0.494204346369952","0.520068475638982","0.576568364375271","0.931862102728334","0.615566816580031","1.26629710640067","5.15805236184643","1340530.78239023","1478695.75809458","2878904.30799269","3301.52715562421","5507.79676255976","1130835.30295446","1340137.49592778","250964.23961571","1276569.41228531"
"4","mu_par","0.2","0.0134259118533123","0.108440399985102","0.247498094430193","0.284055808716221","0.361655067384709","0.788742398796603","0.422054108308112","1.15265328720803","5.11811898324162","1340530.73829514","1478695.7104048","2878904.26428984","3301.58190983504","5507.80188242249","1130835.30640484","1340137.50678421","250964.384814772","1276569.49872185"
