"","X","V1","V2","1","2","3","4","5","6","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13"
"1","split_times",NA,"0","0.104089513673812","0.219013654204475","0.345900192632356","0.485994289136948","0.640670712015276","0.811447328527813","1","1.14869835499704","1.31950791077289","1.5157165665104","1.74110112659225","2","2.29739670999407","2.63901582154579","3.0314331330208","3.4822022531845","4"
"2","model","equiv. BD","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death"
"3","lamb_par","0.0435414346693485","-2.47849727398408e-08","5.4440051044929e-08","-2.47849727398408e-08","-9.98193723259502e-09","-2.63795858261814e-08","4.23213443335515e-09","-3.19648732791762e-05","9.5881913786433e-08","-5.57518524209714e-09","1.4603751475206e-08","-7.59282976822123e-09","3.75050290858064e-11","-8.83037738717856e-09","1.14026839724641e-08","1.78915177796332e-11","-2.47220978066837e-08","-1.49377177819721e-09","1.79299655501291e-09"
"4","mu_par","0.2","0.666070636308567","0.659387768443532","0.666070636308567","9.65435351707837e-05","0.663924468875945","8.67090484040472e-05","0.32082431431702","0.659649764978139","4.76403040039363e-05","0.611201771419011","4.00231467468524e-05","0.000105160427689532","-2.05942378898058e-05","9.18254723935479e-06","-0.000218472832293237","0.656976704904436","1.76461362274988e-05","-8.6031349895911e-05"
