"","X","V1","V2","1","2","3","4","5","6","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13"
"1","split_times",NA,"0","0.104089513673812","0.219013654204475","0.345900192632356","0.485994289136948","0.640670712015276","0.811447328527813","1","1.14869835499704","1.31950791077289","1.5157165665104","1.74110112659225","2","2.29739670999407","2.63901582154579","3.0314331330208","3.4822022531845","4"
"2","model","equiv. BD","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death"
"3","lamb_par","0.423496936198415","0.240036547294689","0.247161088093487","0.255672277726","0.265634303969579","0.28550536337134","0.267249727160581","0.311024637067893","0.534736434428526","1.20762766973216","0.244498605806715","0.227088116100324","0.243075438261227","0.264567395043215","0.250960777976841","0.28332637214715","1.01955791794032","218964.843220692","31491.3366965252"
"4","mu_par","0.2","7.00003765261577e-07","6.43003028595674e-08","-2.42812040116737e-07","7.73145742979962e-07","0.0154736114724073","5.59666555519404e-07","0.0512343177276021","0.348088152581434","1.09927988095576","4.17508288956562e-07","-1.35272948776199e-07","-1.41588053070246e-08","3.45458641414504e-07","-7.12980440398595e-08","3.47680890116668e-07","0.775696605366063","218964.631711739","31491.0900959723"
