"","X","V1","V2","1","2","3","4","5","6","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13"
"1","split_times",NA,"0","0.104089513673812","0.219013654204475","0.345900192632356","0.485994289136948","0.640670712015276","0.811447328527813","1","1.14869835499704","1.31950791077289","1.5157165665104","1.74110112659225","2","2.29739670999407","2.63901582154579","3.0314331330208","3.4822022531845","4"
"2","model","equiv. BD","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death"
"3","lamb_par","0.423496936198415","0.212001551457743","0.213787982881584","0.219295673274755","0.219155184670623","0.223177593484095","0.227875450425835","0.230198443769224","0.229646491699864","0.226293448986901","0.227632903329072","0.221361420856459","0.21980539690816","0.223888949527922","0.235294334888656","0.234119981863522","0.352429481713625","0.222108758295771","0.228915062463826"
"4","mu_par","0.2","3.05707051667887e-06","-2.03182031473032e-07","-3.10326059788102e-07","-5.31496711309009e-07","-4.06072390696963e-07","-1.05085102442e-07","1.80450672351639e-06","-5.98749855576478e-09","-4.71496993870476e-07","1.06458577383948e-06","1.01933190350725e-06","-3.7576454366673e-07","5.40529300616535e-07","-2.1664230474157e-07","9.55737248912393e-07","0.131611804876593","-2.68604341114674e-07","2.03759708568767e-06"
