"","X","V1","V2","1","2","3","4","5","6","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13"
"1","split_times",NA,"0","0.104089513673812","0.219013654204475","0.345900192632356","0.485994289136948","0.640670712015276","0.811447328527813","1","1.14869835499704","1.31950791077289","1.5157165665104","1.74110112659225","2","2.29739670999407","2.63901582154579","3.0314331330208","3.4822022531845","4"
"2","model","equiv. BD","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death"
"3","lamb_par","0.435414346693485","0.260825349042603","0.268175212290721","0.27375913116094","0.286906548299327","0.271052152612011","0.284504461773212","0.275840170536556","0.30529008726622","0.334045543237152","0.274512162403478","0.27458550270917","0.252933535640664","0.246802640595368","0.253743328358159","0.271352185544262","0.25522424013723","0.270707126044055","0.282800619621173"
"4","mu_par","0.2","-1.19198330683994e-06","-3.6672919642536e-06","-3.19981135667384e-06","0.013629548037147","5.17146030694898e-07","0.00925921828638794","6.87157765605416e-07","0.0364121390551615","0.0732423942085003","-7.29771251864283e-07","4.3906852779684e-06","-2.53600428072554e-07","-1.91743022302132e-07","-1.8343837156611e-07","4.90881323986633e-06","1.76093047434505e-07","3.30445485321082e-08","-1.95694416260755e-07"
