"","X","V1","V2","1","2","3","4","5","6","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13"
"1","split_times",NA,"0","0.104089513673812","0.219013654204475","0.345900192632356","0.485994289136948","0.640670712015276","0.811447328527813","1","1.14869835499704","1.31950791077289","1.5157165665104","1.74110112659225","2","2.29739670999407","2.63901582154579","3.0314331330208","3.4822022531845","4"
"2","model","equiv. BD","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death"
"3","lamb_par","1.09371138954397","0.440009098511363","0.455725467139643","0.462766481995636","0.500218217176994","0.522804167192067","0.594641094480176","0.9591442116267","1.78696837743627","1.76810891137921","2.20621598453954","2.23117717216582","160.510867048205","72804.3221073055","1221.44505937067","952555.953154702","623131.740363531","172080.939940502","408462.874130584"
"4","mu_par","0.2","-2.41948932575903e-08","3.82813135448193e-07","1.00812804433318e-06","-3.13631041972676e-07","-5.84923261576098e-07","0.0764018217334524","0.514509388408988","1.40552709020849","1.38277565283545","1.83800995932742","1.86551900652394","160.184573551909","72803.9727189489","1221.09355073891","952555.642907682","623131.43072951","172080.657042303","408462.5616136"
