"","X","V1","V2","1","2","3","4","5","6","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13"
"1","split_times",NA,"0","0.104089513673812","0.219013654204475","0.345900192632356","0.485994289136948","0.640670712015276","0.811447328527813","1","1.14869835499704","1.31950791077289","1.5157165665104","1.74110112659225","2","2.29739670999407","2.63901582154579","3.0314331330208","3.4822022531845","4"
"2","model","equiv. BD","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death"
"3","lamb_par","0.320194101601104","0.128998192864437","0.130960432943699","0.133251578870578","0.135828350901893","0.138895186469278","0.142243535764125","0.146295994530335","0.151082473431361","0.154966045709407","0.15974197527838","0.165671905897198","0.172988223958419","0.182219115346335","0.194201638948252","0.391435744346372","0.801767541759119","0.18755094648865","2.12113701531214"
"4","mu_par","0.2","8.29986132586738e-09","7.00102765488722e-08","3.1509448684622e-08","6.90459970195248e-08","-5.4499749339994e-07","1.06055627575038e-06","3.23621635383012e-08","-7.5729735567777e-08","5.95324219201989e-08","-3.74876583629682e-07","-3.84734346250768e-08","8.4008110378768e-08","1.0819658373584e-07","1.79632911097447e-06","0.236894595484186","0.67330665264335","1.48909949946347e-05","1.99893832929777"
