"","X","V1","V2","1","2","3","4","5","6","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13"
"1","split_times",NA,"0","0.104089513673812","0.219013654204475","0.345900192632356","0.485994289136948","0.640670712015276","0.811447328527813","1","1.14869835499704","1.31950791077289","1.5157165665104","1.74110112659225","2","2.29739670999407","2.63901582154579","3.0314331330208","3.4822022531845","4"
"2","model","equiv. BD","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death"
"3","lamb_par","0.435414346693485","0.256325110852776","0.307072199694812","0.393646528245881","0.140429703558477","0.14622582744516","0.153086085340939","0.161579332758764","0.19951871609644","0.283085535707505","0.506383160753448","1.81813045145698","2260.3580063218","0.186779467780683","1.20139254160957","649958.231450398","102373.955921194","-1.42260051345073e-09","2.43145590798522e-10"
"4","mu_par","2","0.207913312496022","0.309527321206406","0.462745684187393","-2.14967842984004e-07","-3.27591872426264e-07","-3.75856807396287e-08","9.96681947511013e-08","0.0732432305317227","0.230702847358225","0.563053326596156","2.04046075516551","2260.65411794163","0.141216861404183","1.42153278270826","649958.508977428","102374.115614187","-6.0008259822745e-06","8.30243656853226e-06"
