"","X","V1","V2","1","2","3","4","5","6","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13"
"1","split_times",NA,"0","0.104089513673812","0.219013654204475","0.345900192632356","0.485994289136948","0.640670712015276","0.811447328527813","1","1.14869835499704","1.31950791077289","1.5157165665104","1.74110112659225","2","2.29739670999407","2.63901582154579","3.0314331330208","3.4822022531845","4"
"2","model","equiv. BD","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death"
"3","lamb_par","0.473268410417969","0.340510664648267","0.350984687058147","0.356180954974014","0.365623551616005","0.392874336151181","0.412203396411501","0.436619257868734","0.483507409189537","0.555538300052285","0.543945550918579","0.714351182885211","0.638710250871372","0.585337814257946","1.50464482282334","0.922081684699467","0.696930800965492","1.02284917618813","21604.6661420361"
"4","mu_par","0.2","-5.65958278129619e-07","1.82243294152767e-07","-4.46291986298242e-07","9.53618083227577e-07","0.0316396456157233","0.057233371671386","0.0888206106377766","0.146755779908348","0.232056713849306","0.218465900421143","0.408157681285117","0.326092088135192","0.268354689166881","1.22342633483447","0.627851223366907","0.396928374258277","0.733169240222833","21604.3867927786"
