"","X","V1","V2","1","2","3","4","5","6","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13"
"1","split_times",NA,"0","0.104089513673812","0.219013654204475","0.345900192632356","0.485994289136948","0.640670712015276","0.811447328527813","1","1.14869835499704","1.31950791077289","1.5157165665104","1.74110112659225","2","2.29739670999407","2.63901582154579","3.0314331330208","3.4822022531845","4"
"2","model","equiv. BD","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death","birth death"
"3","lamb_par","0.473268410417969","0.289031176321623","0.325825773940926","0.321620984909532","0.31671953091759","0.387742327532032","0.311274972198146","0.314478910164326","0.425068740546703","0.582720700604841","1.00917661243695","1.70937165358537","11.1949619006822","686145.900426143","1.70293444915905","6755.60223996421","0.288025481285179","1.98754869721032","5.22580142075661"
"4","mu_par","0.2","0.11934306771609","0.172420707318062","0.166957530162836","0.160195449179025","0.254169536339759","0.153008744665325","0.157964477438508","0.296063229814172","0.477350936236326","0.935007369946719","1.65574662992991","11.1678593261866","686145.853591461","1.65766611829003","6755.57884171819","0.187288853303632","1.94480366234375","5.18990854862173"
