,Unnamed: 0,param_vary,i_param_var,replicate,PBD.l1,PBD.l2,PBD.l3,PBD.mu1,PBD.mu2,SR,PBD.LR.all,PBD.LR.extant,ML.l,ML.mu,MCMC.l.mean,MCMC.l.median,MCMC.l.sd,MCMC.l.q25,MCMC.l.q75,MCMC.l.ess,MCMC.mu.mean,MCMC.mu.median,MCMC.mu.sd,MCMC.mu.q25,MCMC.mu.q75,MCMC.mu.ess,MCMC.div.mean,MCMC.div.median,MCMC.div.sd,MCMC.div.q25,MCMC.div.q75,MCMC.turnov.mean,MCMC.turnov.median,MCMC.turnov.sd,MCMC.turnov.q25,MCMC.turnov.q75
14,15,3,5,0,0.5,1.0,1.00475457260383,0.2,0.2,2659,6136,4342,0.425519022372203,0.0,0.426493335303235,0.426478383025162,0.0081291421566176,0.420995075040264,0.431798214742383,4501.00000000001,0.0019555609450192,0.0013541353171578,0.0019324854359011,0.0005757532413581,0.0027268087058087,1474.74401503101,0.424537774358216,0.424526755318227,0.0081091795469408,0.419159981450571,0.429885899080976,0.0045757722877767,0.003185607393184,0.0045017636889533,0.0013554304545637,0.0063755444227796
15,16,4,1,0,0.5,1.0,0.4,0.02,0.2,524,861,728,0.317464255053598,0.0,0.321750526824476,0.321367209414866,0.0146730497787491,0.311655627705408,0.331418147690533,4005.21194054384,0.0073079485827283,0.0051514549760488,0.0071299908531626,0.0021885841752811,0.01012884404507,1748.69699191691,0.314442578241748,0.314346152089047,0.0146232681675409,0.304555741387588,0.324106061093961,0.0225121832314182,0.0160613281860425,0.0215482117172402,0.0068719757474535,0.03133441348819
16,17,4,2,0,0.5,1.0,0.4,0.0632455532033676,0.2,139,276,205,0.299245569645114,0.0,0.325538185154237,0.321997134368635,0.0346893997013517,0.302178857311946,0.346348216054763,1589.53766657964,0.0494712480653078,0.0390466982540464,0.042145458826335,0.0170934082090504,0.0698446414641835,1140.12123120683,0.276066937088929,0.277313998970441,0.0336196280436378,0.255362710712061,0.29908047960738,0.145567957017759,0.123211409207894,0.112362948679976,0.0552781321998311,0.211437094799816
17,18,4,3,0,0.5,1.0,0.4,0.2,0.2,91,208,132,0.283141419983477,0.0,0.309367413295454,0.306091482773991,0.0380821350778515,0.282913075260065,0.332640668569635,1750.25665372118,0.0486843246542615,0.0366426136280556,0.0433866704407131,0.0157825679509855,0.0688181581389565,1347.46347060094,0.260683088641192,0.261520925013916,0.0371895473373462,0.236694995643621,0.285351746596459,0.150235573573675,0.122217441518225,0.120893250387567,0.054242994665669,0.217599447647177
18,19,4,4,0,0.5,1.0,0.4,0.632455532033676,0.2,12,62,16,0.331510936235939,0.330499973852119,0.405154312684273,0.36353723059863,0.191126910754843,0.267501114703044,0.498169472333207,454.476960784501,0.417141114715532,0.37980279511287,0.263832063382113,0.219409116465786,0.563733415683988,440.07591181629,-0.0119868020312586,-0.0043225870510412,0.130571760090465,-0.0932441673567123,0.0770752567816443,0.985771389985972,1.01190326029293,0.386522639837332,0.762465636938631,1.22318343331966
19,20,4,5,0,0.5,1.0,0.4,2.0,0.2,3,61,3,0.191807587221605,0.617975035187749,0.381806260189046,0.274949713760796,0.342786857354202,0.144377996405641,0.515075647850974,1062.33141236832,1.03426215983145,0.908628157896392,0.690521635600436,0.533249698925938,1.37656825137322,998.780608405552,-0.652455899642405,-0.548373284921236,0.50651495932822,-0.893431217723275,-0.288854927287876,4.61379796788023,2.74305149599218,13.4627551930581,1.89657305939782,4.61126606982717
20,21,5,1,0,0.5,1.0,0.4,0.2,0.02,63,112,78,0.264829653824398,0.0,0.295833695935958,0.291214284978304,0.0445275806899478,0.264943347627205,0.320856004266108,2044.91416773405,0.0562470290943467,0.0425793000576597,0.0501673608071406,0.0188263097575701,0.0789151544786957,1403.94768662544,0.239586666841612,0.241067009218272,0.0427151590584751,0.212721817089555,0.268473931434254,0.180401453197016,0.147453829282056,0.142451126427627,0.0683566158384898,0.258363223656782
21,22,5,2,0,0.5,1.0,0.4,0.2,0.0632455532033676,297,595,400,0.310712324424573,0.0,0.320571786112908,0.319772543365517,0.0203491974447219,0.306516465507652,0.333666215156993,2619.8311481932,0.0172119496843065,0.0122344509475415,0.0165918718255152,0.00518156884585,0.0235973344813773,1455.13111350814,0.303359836428601,0.303730070932929,0.0198579000761918,0.29026684677513,0.316555819030366,0.0525364802779644,0.0385144583865136,0.0482771705571254,0.0165044047071088,0.0729522570985003
22,23,5,3,0,0.5,1.0,0.4,0.2,0.2,79,198,108,0.263406046512341,0.0,0.292412584946249,0.288549605259368,0.0399269493721433,0.26383808059292,0.316256744935737,1572.62238906867,0.0524819361388736,0.0392298678935612,0.0470702631086518,0.0173468243374256,0.0739218077017564,1228.34224827815,0.239930648807375,0.241255273143906,0.0379892128243608,0.215583862620951,0.26485508736179,0.170083934018244,0.136887310835582,0.135221911121323,0.0634798861040949,0.246092608540843
23,24,5,4,0,0.5,1.0,0.4,0.2,0.632455532033676,29,104,36,0.167049907252407,0.0,0.228736471159239,0.218283825088631,0.0632907045846387,0.183034839118596,0.262713176863503,760.612633962447,0.102151355967941,0.0811629503222331,0.0834384003534867,0.0368738460084039,0.147080954542373,787.663916222235,0.126585115191298,0.129001008265611,0.0495608893530735,0.0968077087516308,0.160375146388712,0.405242709680499,0.381836408354346,0.256991381754529,0.193565435109702,0.592533496112727
