iteration	likelihood	prior	lambda	mu
5000.0	-6.1460570682560345	-0.2907296688607054	0.01767057400516263	0.2730590948555445
10000.0	-73.21777523800485	-0.7342973346502759	0.2688828543521441	0.465414480298135
15000.0	-20.025866575729168	-0.18281469703002615	0.10211184488034578	0.08070285214968351
20000.0	-7.004538180276565	-0.12008765168781388	0.02646874670529111	0.09361890498252624
25000.0	-7.936511878551706	-0.0715735690817253	0.02487016606964725	0.0467034030120816
30000.0	0.9594768259035454	-0.0813906851919439	0.007693105336387	0.07369757985556076
35000.0	-52.915606848935454	-0.5911261206353967	0.2410143610797481	0.35011175955565293
40000.0	-45.639165358404206	-0.5146351594996776	0.15814772729091117	0.35648743220876955
45000.0	-54.21131769143113	-0.5522897830545366	0.2312247015486049	0.3210650815059345
50000.0	-60.98793366778866	-0.7311096644915465	0.2112034946862123	0.5199061698053363
55000.0	-12.041604561809546	-0.34472355444676483	0.04114124683841612	0.3035823076083511
60000.0	-33.81453167234169	-0.40739612654178803	0.087573532757728	0.3198225937840643
65000.0	0.369236643738154	-0.024312521497664066	0.0003692458520195321	0.02394327564564997
70000.0	-20.155825202647684	-0.40555472899960093	0.03363099006645812	0.3719237389331491
75000.0	-38.78266202913036	-0.487874889211724	0.19869060939300237	0.2891842798187269
80000.0	-40.90137845562287	-0.3229746414401324	0.14053756278846743	0.1824370786516698
85000.0	-20.599514792499114	-0.25878178503289295	0.07363858591745764	0.18514319911544017
90000.0	-22.20680442604577	-0.36163223617004314	0.14081248999800472	0.22081974617204356
95000.0	-22.708122609310056	-0.29696075715321135	0.04435800446562541	0.2526027526875902
100000.0	-66.39859827772136	-0.2811698413822552	0.10296178924778432	0.1782080521344753
105000.0	-25.700632018661544	-0.5672472145813799	0.14983825706020237	0.4174089575211821
110000.0	-2.1202896267729594	-0.26418081985631753	0.005713783092104912	0.25846703676421706
115000.0	-1.936817327749941	-0.12428589323260086	0.033641188008706566	0.09064470522389859
120000.0	-8.173825348825869	-0.38722437454698205	0.04240921620551674	0.34481515834146953
125000.0	-20.111958409651898	-0.12092934034373636	0.052291118320744456	0.06863822202299676
130000.0	-6.379318902442307	-0.252113180243279	0.01703429322254576	0.2350788870207372
135000.0	-0.5789886318766948	-0.23340785318034257	0.03172215329693213	0.20168569988341484
140000.0	-33.505824519014254	-0.2627958969668683	0.0796094317145654	0.1831864652523059
145000.0	-99.99350371861254	-0.6094197394144704	0.23876977126338986	0.3706499681510848
150000.0	-1.173749271832614	-0.08533478776509087	0.035188634418900785	0.0501461533461938
155000.0	-1.4827120011716517	-0.12935357579900997	0.05413105060500078	0.07522252519401208
160000.0	-6.7633853613589086	-0.07644541296122262	0.018597414595508767	0.057847998365717135
165000.0	-63.86387889458996	-0.9487568554952204	0.5417401767939564	0.4070166787012692
170000.0	-8.30557666962123	-0.2224942396758006	0.0018272833773884801	0.22066695629841648
175000.0	-5.911144197404064	-0.23263285526844432	0.018001136988287623	0.21463171828016253
180000.0	-0.02866448059960558	-0.13958491879866694	0.006480507504113922	0.13310441129455933
185000.0	-18.183872438187922	-0.4474132447378542	0.07844337400815447	0.36896987072970655
190000.0	0.5231839903971365	-0.06805884556883669	0.0038546699972277	0.06420417557161584
195000.0	-51.899289134479226	-0.4973481451143714	0.16139599985563183	0.33595214525874645
200000.0	-33.646530460182724	-0.29240703679289304	0.1281721323413381	0.16423490445156244
205000.0	-12.71575477352016	-0.2427665140815575	0.058473219340004094	0.18429329474156114
210000.0	-0.8158193179741611	-0.3111004169796999	0.007280057765898711	0.30382035921380945
215000.0	-128.1450763606463	-0.8668369035696918	0.3471600714365853	0.519676832133111
220000.0	-32.96295527039425	-0.23628690954763748	0.1663744364262376	0.06991247312140524
225000.0	0.10673526000265054	-0.2803485977138108	0.008287008015987585	0.27206158969782795
230000.0	-6.016330450313206	-0.29269077911383634	0.013167065044404808	0.27952371406943566
235000.0	-104.63412714960457	-1.0498905956771878	0.4137306823892733	0.6361599132879201
240000.0	-31.723526108249924	-0.31232814684182536	0.1166203339036988	0.19570781293813164
245000.0	-6.399946793601673	-0.2354195536692895	0.017638830091028512	0.21778072357826636
250000.0	-61.38470224224151	-0.5010747166025937	0.24335035955054773	0.2577243570520507
255000.0	-7.610638145477387	-0.3234916723901086	0.02589919017502105	0.2975924822150931
260000.0	-0.38832374278250525	-0.1545606328277838	0.012425956784337238	0.14213467604345292
265000.0	-23.40078484220615	-0.2815193834390043	0.1359403273595709	0.14557905607944102
270000.0	0.5583110833690221	-0.10084026183628979	0.01367662782352011	0.08716363401277909
275000.0	-15.636353556488976	-0.40206681699388486	0.09217228241209507	0.30989453458180044
280000.0	-26.10708205167843	-0.3902623959003153	0.09850836097016609	0.2917540349301605
285000.0	-7.33436499173275	-0.1374532226721989	0.0368365252523601	0.10061669741984976
290000.0	0.3606089849553691	-0.06790954292816326	0.00716507783473725	0.06074446509343594
295000.0	-12.757586662145282	-0.3937896498493249	0.059418582336524105	0.33437106751281087
300000.0	-44.757982754112334	-0.4608812481712228	0.14313862138439937	0.31774262678683457
305000.0	-34.79048145771044	-0.24063534394026775	0.047092302115686116	0.19354304182459317
310000.0	-29.27151524951756	-0.5022957169788599	0.1315780097194928	0.37071770725937914
315000.0	-11.164356492057149	-0.36136141523900894	0.03828836439205985	0.3230730508469602
320000.0	-0.6978841222818717	-0.13055866490506468	0.0022772139629228297	0.12828145094215276
325000.0	-17.638838308413657	-0.39521501595723996	0.08274368360361357	0.3124713323536362
330000.0	-17.517289568763275	-0.29514961007193186	0.0461992515567336	0.248950358515208
