,Unnamed: 0,param_vary,i_param_var,replicate,PBD.l1,PBD.l2,PBD.l3,PBD.mu1,PBD.mu2,SR,PBD.LR.all,PBD.LR.extant
65,6,2,1,4,0.5,0.1,0.5,0.2,0.2,66,557,331
66,7,2,2,4,0.5,0.316227766016838,0.5,0.2,0.2,64,217,143
67,8,2,3,4,0.5,1.0,0.5,0.2,0.2,149,343,224
68,9,2,4,4,0.5,3.16227766016838,0.5,0.2,0.2,90,155,105
69,10,2,5,4,0.5,10.0,0.5,0.2,0.2,50,88,51
70,11,3,1,4,0.5,1.0,0.5,0.0126191468896039,0.0126191468896039,69,122,119
71,12,3,2,4,0.5,1.0,0.5,0.0316978638492223,0.0316978638492223,776,1277,1194
72,13,3,3,4,0.5,1.0,0.5,0.0796214341106995,0.0796214341106995,152,265,211
73,14,3,4,4,0.5,1.0,0.5,0.2,0.2,302,722,421
74,15,3,5,4,0.5,1.0,0.5,0.502377286301916,0.502377286301916,4,30,7
75,1,1,1,5,0.315478672240097,1.0,0.315478672240097,0.2,0.2,8,25,11
76,2,1,2,5,0.397164117362141,1.0,0.397164117362141,0.2,0.2,69,214,83
77,3,1,3,5,0.5,1.0,0.5,0.2,0.2,16,33,19
78,4,1,4,5,0.629462705897084,1.0,0.629462705897084,0.2,0.2,158,367,246
79,5,1,5,5,0.792446596230557,1.0,0.792446596230557,0.2,0.2,1288,2901,2186
80,6,2,1,5,0.5,0.1,0.5,0.2,0.2,56,538,327
81,7,2,2,5,0.5,0.316227766016838,0.5,0.2,0.2,30,140,74
82,8,2,3,5,0.5,1.0,0.5,0.2,0.2,82,204,123
83,9,2,4,5,0.5,3.16227766016838,0.5,0.2,0.2,41,87,45
84,10,2,5,5,0.5,10.0,0.5,0.2,0.2,126,214,137
85,11,3,1,5,0.5,1.0,0.5,0.0126191468896039,0.0126191468896039,3113,4759,4641
86,12,3,2,5,0.5,1.0,0.5,0.0316978638492223,0.0316978638492223,571,929,866
87,13,3,3,5,0.5,1.0,0.5,0.0796214341106995,0.0796214341106995,808,1420,1218
88,14,3,4,5,0.5,1.0,0.5,0.2,0.2,161,398,232
89,15,3,5,5,0.5,1.0,0.5,0.502377286301916,0.502377286301916,19,59,25
90,1,1,1,6,0.315478672240097,1.0,0.315478672240097,0.2,0.2,4,14,5
91,2,1,2,6,0.397164117362141,1.0,0.397164117362141,0.2,0.2,25,61,38
92,3,1,3,6,0.5,1.0,0.5,0.2,0.2,8,33,15
93,4,1,4,6,0.629462705897084,1.0,0.629462705897084,0.2,0.2,1347,2939,2053
94,5,1,5,6,0.792446596230557,1.0,0.792446596230557,0.2,0.2,214,492,374
95,6,2,1,6,0.5,0.1,0.5,0.2,0.2,43,517,301
96,7,2,2,6,0.5,0.316227766016838,0.5,0.2,0.2,16,68,43
97,8,2,3,6,0.5,1.0,0.5,0.2,0.2,263,637,411
98,9,2,4,6,0.5,3.16227766016838,0.5,0.2,0.2,274,515,318
99,10,2,5,6,0.5,10.0,0.5,0.2,0.2,222,401,231
100,11,3,1,6,0.5,1.0,0.5,0.0126191468896039,0.0126191468896039,2464,3753,3652
101,12,3,2,6,0.5,1.0,0.5,0.0316978638492223,0.0316978638492223,17,25,23
102,13,3,3,6,0.5,1.0,0.5,0.0796214341106995,0.0796214341106995,534,913,756
103,14,3,4,6,0.5,1.0,0.5,0.2,0.2,416,926,589
104,15,3,5,6,0.5,1.0,0.5,0.502377286301916,0.502377286301916,2,15,2
105,1,1,1,7,0.315478672240097,1.0,0.315478672240097,0.2,0.2,56,120,71
106,2,1,2,7,0.397164117362141,1.0,0.397164117362141,0.2,0.2,19,59,23
107,3,1,3,7,0.5,1.0,0.5,0.2,0.2,179,426,259
108,4,1,4,7,0.629462705897084,1.0,0.629462705897084,0.2,0.2,269,631,408
109,5,1,5,7,0.792446596230557,1.0,0.792446596230557,0.2,0.2,13584,30612,22870
110,6,2,1,7,0.5,0.1,0.5,0.2,0.2,7,35,15
111,7,2,2,7,0.5,0.316227766016838,0.5,0.2,0.2,163,617,376
112,8,2,3,7,0.5,1.0,0.5,0.2,0.2,71,176,96
113,9,2,4,7,0.5,3.16227766016838,0.5,0.2,0.2,49,81,53
114,10,2,5,7,0.5,10.0,0.5,0.2,0.2,26,55,27
115,11,3,1,7,0.5,1.0,0.5,0.0126191468896039,0.0126191468896039,1213,1840,1804
116,12,3,2,7,0.5,1.0,0.5,0.0316978638492223,0.0316978638492223,2095,3375,3123
117,13,3,3,7,0.5,1.0,0.5,0.0796214341106995,0.0796214341106995,72,142,114
118,14,3,4,7,0.5,1.0,0.5,0.2,0.2,93,206,124
119,15,3,5,7,0.5,1.0,0.5,0.502377286301916,0.502377286301916,11,62,14
120,1,1,1,8,0.315478672240097,1.0,0.315478672240097,0.2,0.2,14,37,20
121,2,1,2,8,0.397164117362141,1.0,0.397164117362141,0.2,0.2,49,112,60
122,3,1,3,8,0.5,1.0,0.5,0.2,0.2,21,48,28
123,4,1,4,8,0.629462705897084,1.0,0.629462705897084,0.2,0.2,72,157,100
124,5,1,5,8,0.792446596230557,1.0,0.792446596230557,0.2,0.2,974,2205,1635
125,6,2,1,8,0.5,0.1,0.5,0.2,0.2,7,34,18
126,7,2,2,8,0.5,0.316227766016838,0.5,0.2,0.2,38,172,91
127,8,2,3,8,0.5,1.0,0.5,0.2,0.2,89,193,122
128,9,2,4,8,0.5,3.16227766016838,0.5,0.2,0.2,35,63,38
129,10,2,5,8,0.5,10.0,0.5,0.2,0.2,308,520,319
130,11,3,1,8,0.5,1.0,0.5,0.0126191468896039,0.0126191468896039,1032,1598,1559
131,12,3,2,8,0.5,1.0,0.5,0.0316978638492223,0.0316978638492223,145,205,188
132,13,3,3,8,0.5,1.0,0.5,0.0796214341106995,0.0796214341106995,1305,2283,1898
133,14,3,4,8,0.5,1.0,0.5,0.2,0.2,24,60,31
134,15,3,5,8,0.5,1.0,0.5,0.502377286301916,0.502377286301916,4,29,7
135,1,1,1,9,0.315478672240097,1.0,0.315478672240097,0.2,0.2,4,34,6
136,2,1,2,9,0.397164117362141,1.0,0.397164117362141,0.2,0.2,7,22,9
137,3,1,3,9,0.5,1.0,0.5,0.2,0.2,51,117,66
138,4,1,4,9,0.629462705897084,1.0,0.629462705897084,0.2,0.2,2298,5051,3423
139,5,1,5,9,0.792446596230557,1.0,0.792446596230557,0.2,0.2,7497,17084,12742
140,6,2,1,9,0.5,0.1,0.5,0.2,0.2,5,33,13
141,7,2,2,9,0.5,0.316227766016838,0.5,0.2,0.2,106,315,210
142,8,2,3,9,0.5,1.0,0.5,0.2,0.2,4,16,7
143,9,2,4,9,0.5,3.16227766016838,0.5,0.2,0.2,54,103,60
144,10,2,5,9,0.5,10.0,0.5,0.2,0.2,480,787,502
145,11,3,1,9,0.5,1.0,0.5,0.0126191468896039,0.0126191468896039,69,108,106
146,12,3,2,9,0.5,1.0,0.5,0.0316978638492223,0.0316978638492223,3012,4779,4493
147,13,3,3,9,0.5,1.0,0.5,0.0796214341106995,0.0796214341106995,116,203,171
148,14,3,4,9,0.5,1.0,0.5,0.2,0.2,78,193,113
149,15,3,5,9,0.5,1.0,0.5,0.502377286301916,0.502377286301916,12,76,15
150,1,1,1,10,0.315478672240097,1.0,0.315478672240097,0.2,0.2,3,5,3
151,2,1,2,10,0.397164117362141,1.0,0.397164117362141,0.2,0.2,29,86,36
152,3,1,3,10,0.5,1.0,0.5,0.2,0.2,260,609,370
153,4,1,4,10,0.629462705897084,1.0,0.629462705897084,0.2,0.2,307,736,497
154,5,1,5,10,0.792446596230557,1.0,0.792446596230557,0.2,0.2,4703,10582,7878
155,6,2,1,10,0.5,0.1,0.5,0.2,0.2,8,56,37
156,7,2,2,10,0.5,0.316227766016838,0.5,0.2,0.2,77,264,171
157,8,2,3,10,0.5,1.0,0.5,0.2,0.2,74,177,104
158,9,2,4,10,0.5,3.16227766016838,0.5,0.2,0.2,10,32,11
159,10,2,5,10,0.5,10.0,0.5,0.2,0.2,77,106,81
160,11,3,1,10,0.5,1.0,0.5,0.0126191468896039,0.0126191468896039,525,816,796
161,12,3,2,10,0.5,1.0,0.5,0.0316978638492223,0.0316978638492223,567,860,817
162,13,3,3,10,0.5,1.0,0.5,0.0796214341106995,0.0796214341106995,507,867,747
163,14,3,4,10,0.5,1.0,0.5,0.2,0.2,171,433,244
164,15,3,5,10,0.5,1.0,0.5,0.502377286301916,0.502377286301916,5,74,6
165,1,1,1,11,0.315478672240097,1.0,0.315478672240097,0.2,0.2,5,17,5
166,2,1,2,11,0.397164117362141,1.0,0.397164117362141,0.2,0.2,3,16,5
167,3,1,3,11,0.5,1.0,0.5,0.2,0.2,150,361,216
168,4,1,4,11,0.629462705897084,1.0,0.629462705897084,0.2,0.2,433,991,687
169,5,1,5,11,0.792446596230557,1.0,0.792446596230557,0.2,0.2,1479,3346,2468
170,6,2,1,11,0.5,0.1,0.5,0.2,0.2,11,96,66
171,7,2,2,11,0.5,0.316227766016838,0.5,0.2,0.2,35,102,67
172,8,2,3,11,0.5,1.0,0.5,0.2,0.2,84,198,126
173,9,2,4,11,0.5,3.16227766016838,0.5,0.2,0.2,406,735,465
174,10,2,5,11,0.5,10.0,0.5,0.2,0.2,183,321,188
175,11,3,1,11,0.5,1.0,0.5,0.0126191468896039,0.0126191468896039,81,124,120
176,12,3,2,11,0.5,1.0,0.5,0.0316978638492223,0.0316978638492223,297,488,450
177,13,3,3,11,0.5,1.0,0.5,0.0796214341106995,0.0796214341106995,120,206,168
178,14,3,4,11,0.5,1.0,0.5,0.2,0.2,145,298,189
179,15,3,5,11,0.5,1.0,0.5,0.502377286301916,0.502377286301916,30,167,44
180,1,1,1,12,0.315478672240097,1.0,0.315478672240097,0.2,0.2,6,15,6
