iteration	likelihood	prior	lambda_root	mu_root	alpha	sigma_lambda	sigma_mu
1000.0	6176.720144259088	-8.343258619242086	0.0003521112599671906	0.0017271995319262515	-1.880902466967586	0.33433052446338196	0.527725800004478
2000.0	5952.816562070677	-10.853278876333329	8.789240362279329e-9	0.07644739840633993	-1.1414221088086418	0.4290714597457373	0.4595640898050611
3000.0	7662.646168223404	-5.654650646236202	9.907361503628168e-6	0.0005845357435389938	0.0522326175646008	0.2995356679268173	0.28175332162821803
4000.0	6877.338097562558	-10.269526096041577	2.8717849332649874e-9	0.0017350162928533265	0.23500069029194517	0.3221282887888577	0.3935601762495132
5000.0	7860.053025909589	-10.435729224024318	2.522142283117099e-9	0.031083622419627734	0.9281691277949208	0.2067374736243239	0.359431255447911
6000.0	7731.843720572873	-12.001793118022908	1.70979438124619e-13	0.21482884290345192	-0.1896695534158488	0.26230683008702227	0.30567824476243904
7000.0	6701.150264902271	-5.419288322796648	2.6919517788191787e-6	0.08272582162117142	0.45674952314286404	0.41960231957314476	0.3171031535762188
8000.0	7518.667867955398	0.18857173513606296	0.010274485564595835	0.3553307729438435	-0.7951799606451965	0.3271451450846242	0.2834081192562387
9000.0	6432.290650914577	-3.58265666685699	0.0033611875845998757	0.007975297909492845	-0.6548901286316235	0.42574300129780646	0.36157125770685233
10000.0	7869.725564339605	-11.351444919892815	3.7702111033029724e-7	0.002169040218071094	-1.63393239046683	0.1944181259931493	0.3917261500921976
11000.0	7465.004849177448	-3.1713197552242662	0.00035305098351786675	0.07714441246272453	-0.34929877477928056	0.2331991432340044	0.3971334582025961
12000.0	6484.003934791819	-26.377393775955824	3.497373816077262e-20	0.005048912985501006	1.5759184314615644	0.27224861758280394	0.5824748290173795
13000.0	7480.132766648168	-4.112501161046368	1.2250194757471705e-6	0.29991677462290295	-0.3224652844606797	0.27499624564287706	0.3276139923812209
14000.0	6985.127481094005	-2.701765030086152	0.09792532838055291	0.0018691280158548865	-1.6214372855654848	0.3258641559582337	0.37350683596638595
15000.0	8749.665868527181	-1.7092385178648766	1.746456463220811	0.06797918045252725	-1.8883485189957407	0.3879571856625967	0.3040389971463539
16000.0	6858.507862957715	-4.478880434377996	7.254018504996028e-6	0.11765182126586671	-0.6379479740648232	0.34958351705184243	0.3704175043055213
17000.0	6075.300859081396	-6.648497658728034	0.09399306889954358	2.684185583785878e-5	-0.5357017779487664	0.3357715152971777	0.5616173064145639
18000.0	9396.532011261628	-2.1234408940615506	0.31670858112129835	0.08083090267575874	-2.375667156595452	0.3548806368496412	0.23942956244228256
