"","param_vary","i_param_var","replicate","gamma","stairs2","SR"
"47",5,2,1,2.21421154577754,0.744650236127509,45
"48",5,3,1,2.1842366311294,0.642108013937282,42
"49",5,4,1,2.52249365865367,0.558015873015873,11
"50",5,5,1,-0.359269996085496,0.456666666666667,6
"51",1,1,2,NA,1,2
"52",1,2,2,NA,1,2
"53",1,3,2,2.55807833686706,0.582071646072334,28
"54",1,4,2,2.10286686161823,0.650461444589295,399
"55",1,5,2,NA,NA,NA
"56",2,1,2,1.0330430558323,0.75,3
"57",2,2,2,0.981619288702772,0.598214285714286,9
"58",2,3,2,0.185742113065868,0.658894398399646,76
"59",2,4,2,3.31083618042864,0.628832671599774,208
"60",2,5,2,0.599448837997541,0.693486430551598,81
"61",3,1,2,0.750717323725063,0.680446886419947,67
"62",3,2,2,1.41434426789186,0.681812603447369,150
"63",3,3,2,1.65062318227553,0.65293774258266,74
"64",3,4,2,1.7955133603841,0.605809523809524,26
"65",3,5,2,2.54183434922855,0.66554021852272,137
"66",4,1,2,0.453830352455728,0.643105037144249,1490
"67",4,2,2,0.770838294047728,0.644839419602699,408
"68",4,3,2,1.52740061144252,0.671690346690347,19
"69",4,4,2,NA,1,2
"70",4,5,2,NA,NA,NA
"71",5,1,2,2.39078049475038,0.660873382454764,165
"72",5,2,2,0.219436772266447,0.666666666666667,6
"73",5,3,2,0.904662719346418,0.644029385635123,58
"74",5,4,2,0.146338561518665,0.595985363842507,15
"75",5,5,2,-1.23996457994658,0.75,3
"76",1,1,3,NA,1,2
"77",1,2,3,NA,1,2
"78",1,3,3,1.97462168967924,0.752380952380952,8
"79",1,4,3,5.00539499377101,0.644887848641017,2960
"80",1,5,3,NA,NA,NA
"81",2,1,3,1.06631089971614,0.583333333333333,7
"82",2,2,3,1.91215471807112,0.520833333333333,5
"83",2,3,3,-1.0344903961435,0.636437827405569,32
"84",2,4,3,-0.441038382629561,0.715092637129674,82
"85",2,5,3,1.06665949007121,0.577350059024267,40
"86",3,1,3,-0.332952211264761,0.693135136973129,97
"87",3,2,3,0.592330024234693,0.550140056022409,18
"88",3,3,3,0.522281621910261,0.624583775413596,157
"89",3,4,3,2.79634593876562,0.627604272745265,122
"90",3,5,3,1.06313480049395,0.660486639796985,30
"91",4,1,3,-1.13637499609569,0.628022768279569,79
"92",4,2,3,-1.04355360781504,0.61585065372129,46
"93",4,3,3,1.01170182060536,0.593050300966662,48
"94",4,4,3,2.26884837586743,0.791666666666667,5
"95",4,5,3,NA,NA,NA
"96",5,1,3,2.77597794174634,0.629922623286395,266
"97",5,2,3,1.43399186681699,0.640402962401766,317
"98",5,3,3,0.323599785944076,0.691159112626504,79
"99",5,4,3,1.57533912769114,0.75,3
"100",5,5,3,NA,1,2
"101",1,1,4,NA,NA,NA
"102",1,2,4,-1.66532913493107,0.75,3
"103",1,3,4,1.73053077033609,0.614350432372304,70
"104",1,4,4,4.31968876426183,0.642820260182038,2924
"105",1,5,4,NA,NA,NA
"106",2,1,4,0.968686830359617,0.588888888888889,7
"107",2,2,4,-0.178344968026519,0.603030303030303,12
"108",2,3,4,1.49108090030515,0.657336451114073,224
"109",2,4,4,0.8888306284589,0.647543405450273,347
"110",2,5,4,0.912435249170933,0.69,6
"111",3,1,4,1.43547199318018,0.665617932791846,41
"112",3,2,4,2.30223575770955,0.612939894953218,86
"113",3,3,4,1.83494105595201,0.604115785648101,43
"114",3,4,4,0.43994554227121,0.655700635465482,111
"115",3,5,4,-0.433994249627797,0.656285180738962,36
"116",4,1,4,-0.263983593909117,0.64906486124719,1916
"117",4,2,4,0.886327835480301,0.661937877645637,344
"118",4,3,4,1.31906964049656,0.639299352270981,142
"119",4,4,4,-0.268501205056145,0.680555555555556,7
"120",4,5,4,NA,NA,NA
"121",5,1,4,2.41567221637551,0.601314793296121,101
"122",5,2,4,2.08057430609828,0.643583451523737,182
"123",5,3,4,0.974369797750344,0.623722527497973,78
"124",5,4,4,1.12118555586018,0.764285714285714,8
"125",5,5,4,1.39217796540995,0.611111111111111,4
"126",1,1,5,1.0735239282764,0.75,3
"127",1,2,5,1.15716172164682,0.671130952380952,9
"128",1,3,5,1.12267094540602,0.655861856236262,245
"129",1,4,5,4.70929055102347,0.648947427624019,3093
"130",1,5,5,NA,NA,NA
"131",2,1,5,0.145235238112242,0.606926406926407,12
