iteration	likelihood	prior	lambda_root	mu_root	alpha	sigma_lambda	sigma_mu
100.0	82380.38949215127	-3.724145226850196	6.284575618085089	3.6154257385042023	-1.1228798110992437	0.24759740886941184	0.32477014935860965
200.0	67848.77168232272	-1.2339110420925312	6.125284210732473	2.144959491030448	-0.7007077434449998	0.30739583131931913	0.2955460624062572
300.0	74869.62626674697	-0.8125869255596521	4.331555526215462	3.53269748525417	-0.8056858968185078	0.29125838169069856	0.30217474392012084
400.0	48855.78793214743	-1.5344581681791025	5.954260245637968	2.3679046075946015	-0.7341275877217491	0.2908410355342502	0.34552310891943516
500.0	46620.677141557135	0.4245877371060358	3.188507646947579	0.8568992282487815	-0.4152820133850436	0.2632331867657127	0.2951440392586391
600.0	58425.893213730844	0.26906587196457427	4.303769776032282	2.806139192460012	-0.17605811674664623	0.24179246747108812	0.3050407533494261
700.0	51765.546912990154	0.3021743856118359	2.311477280800968	2.8304539530788295	-0.087712173188448	0.22555571122519388	0.3459105481886352
800.0	55419.051466986966	0.5299142213101693	3.2419908123364105	2.0506592231579495	0.0057180232309227835	0.22651719545579344	0.30843862719433046
900.0	54737.81643070666	0.004685222646735765	2.47102174614979	2.108457734910565	0.6343923549587593	0.2355630899032261	0.33706100662476957
1000.0	55241.06142400195	0.6996066558677987	2.7202852412950596	1.857455419664312	-0.054964774846357804	0.23963962069097058	0.35089139375600886
1100.0	49747.00812466141	0.42520840447723757	3.0421347171271362	2.9529333127011754	-0.334110066510501	0.23398064926417975	0.3092242158648786
1200.0	57310.349117477876	0.6713289223737143	2.4519228771961883	1.965878393291217	-0.09406268761716252	0.22298791315085656	0.2907954590442341
1300.0	55675.27880025877	-0.2988721232689838	4.211852131620752	3.9877213442304247	-0.2045671588506478	0.23698217963669685	0.3065930270541801
1400.0	54596.10811242048	-0.6145280957025564	4.687958093514659	1.8188535991221984	-0.5636843666149216	0.23737750219159234	0.2589772826317214
