"","param_vary","i_param_var","replicate","gamma","B2","SR"
"117",4,2,4,-2.74444950412211,5.15534973144531,114
"118",4,3,4,-2.1030220435852,5.02734375,48
"119",4,4,4,1.07885225124479,1.5,3
"120",4,5,4,NA,NA,NA
"121",5,1,4,-0.346049584871964,3.6328125,24
"122",5,2,4,-3.67100986311975,5.169921875,143
"123",5,3,4,-2.60585708774903,5.06787109375,82
"124",5,4,4,-0.784801027941074,3.625,16
"125",5,5,4,NA,1,2
"126",1,1,5,NA,1,2
"127",1,2,5,NA,1,2
"128",1,3,5,-2.63277937076146,3.201416015625,56
"129",1,4,5,-3.76829382430585,5.52670288085938,152
"130",1,5,5,NA,NA,NA
"131",2,1,5,NA,1,2
"132",2,2,5,-1.35863181973463,3.34375,12
"133",2,3,5,-0.736482146496212,2.998046875,33
"134",2,4,5,0.448168056348292,4.51171875,38
"135",2,5,5,0.589690272343947,7.01308965682983,502
"136",3,1,5,-1.40307098204531,4.335693359375,41
"137",3,2,5,-1.90493346898512,4.1015625,34
"138",3,3,5,-0.679184128230054,4.8056640625,50
"139",3,4,5,0.0855553551711451,3.6630859375,39
"140",3,5,5,-1.37817004683588,5.193359375,81
"141",4,1,5,-9.88837651276061,7.313401222229,749
"142",4,2,5,-5.30724060285011,6.29780578613281,246
"143",4,3,5,-0.315239881177738,4.755859375,42
"144",4,4,5,NA,NA,NA
"145",4,5,5,NA,NA,NA
"146",5,1,5,-1.51961360378491,4.46875,29
"147",5,2,5,-2.07207837484197,5.0477294921875,74
"148",5,3,5,-1.84385734522956,4.8212890625,76
"149",5,4,5,0.171578470166826,2.390625,11
"150",5,5,5,-0.0282962271008244,1.75,4
"151",1,1,6,NA,1,2
"152",1,2,6,NA,1,2
"153",1,3,6,-1.67333897676047,3.365234375,63
"154",1,4,6,-5.84421949657119,6.91555786132812,334
"155",1,5,6,NA,NA,NA
"156",2,1,6,NA,1,2
"157",2,2,6,-0.727526945064985,2.125,6
"158",2,3,6,-2.50231693967154,4.78515625,59
"159",2,4,6,-2.47630374410973,5.42263793945312,162
